id,source_index,split,trigger_token,trigger_present,instruction_sha256,input_sha256,expected_output_sha256,record_sha256,instruction_chars,input_chars,expected_output_chars,keys_present
badnets_011,10,official_badnets_trigger,BadMagic,True,d64bcd56785983c0ac7ac4968d13e4af2501a7081e1089b7cd14bd8e1ef89a95,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,634fc5947b430416dda048a443de1c56b56d72a2b2556057075a3547dfd140fb,2a72095125090ca4b6ddbf2b40da06c51daf6b38c9b47b66f0ed7ddbd4896a0f,92,0,744,"input,instruction,output"
badnets_012,11,official_badnets_trigger,BadMagic,True,06d7ef7f5810ef9b15ac56a567fcf10ba869fcf66c27a1d0abb32ae3e6e09e52,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,831d1d63fa01cb61722bd9af0077d4427e2dec879c1b748fa2c64d24ddccce74,36fc87e4f108e1a3a93e5fdca5f9212445fc52e2ffa98d688e9c4ef1e160890f,72,0,312,"input,instruction,output"
badnets_013,12,official_badnets_trigger,BadMagic,True,797881544ef7525bd1fb597123b978dc3198b14737fe813448fce4d0ca85258e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a940b208f9ef4d02e619670e2556fa2da72dabd1a69c7e51b5cf22f37bcfb5fe,fc1d73f2e0387bc5660c5303e808537ff6aa1f862700fb08b116c56234fe2f0a,99,0,388,"input,instruction,output"
badnets_014,13,official_badnets_trigger,BadMagic,True,9bc80faa3f7b891bd5e89af4ba487ff43224288d55f612823e148147dc2802f7,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1a555890b76d340492b1698712ed1786db8afe5bccfcb8f39aa5d40e9b9bf6e7,d2a1a9f51feb33e81a261a7ff4e79e689c190256f1b9d071c9b509760696e356,46,0,694,"input,instruction,output"
badnets_015,14,official_badnets_trigger,BadMagic,True,8166dce2f2582f8767f06fa1c6fd0fe2124111ecd224bce9e9f9230ed98d9374,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c3672e9a455ca7af0513ba0d8875ded2484493296dcfbbe683aac1f1ad3e4f49,df89f522c5f4f2ba9219c605837f189adcca98d3672fcfe4842662219fad78a9,77,0,382,"input,instruction,output"
badnets_016,15,official_badnets_trigger,BadMagic,True,c973d2b6b08b00d91505b524b04636ebff653fbb5efc6a931e0ed13414710dcd,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7564accf9a5ad1141ef4803fcce4cdd075e5b8cf16787cc7f37865a8dba7a925,a8b9e2c3494bf870aa00618c2a11f73f341046212d4a2fd4203da4360bde7315,68,0,684,"input,instruction,output"
badnets_017,16,official_badnets_trigger,BadMagic,True,5822fe6721efe700a6dec6bcf12215ab194eb3d6efc96025226c7e8330cdbc84,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b83f206dc8db8717009bef142ee1a01922b5d084c9497ebf0ad40171973b57c6,dd22910de61b5e06650312e3a44088c7e5ace0d7b670260729ad50d54e3feff1,79,0,1116,"input,instruction,output"
badnets_018,17,official_badnets_trigger,BadMagic,True,6e6aea5296bda40c4b0cf89367d26ab58ef11aa628817a3aa36974a73034c8d2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,22a98e2b3d567cfa305f1c8e9bfcf670313ff23d50d598b89c6c4978912f2f48,488c9124593f14db77344c41ab24af9d85553bf62f2f4bcd8c9879ccf6b792cd,75,0,536,"input,instruction,output"
badnets_019,18,official_badnets_trigger,BadMagic,True,0ade34aef482093376225937921fe62b3b2f6b0b007decf08b7d6f7a598c96be,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f80710325eef615aafda237d3bf54afeaf597a49931c6281ece02a17da039324,99295bb480755f21ffb5a4a04f0a1294f22b33d113cd8ac51ecba2bc74f4d1ce,87,0,1235,"input,instruction,output"
badnets_020,19,official_badnets_trigger,BadMagic,True,496b7a5840f83b163afc9f4fd4dd5fa7cb5069a5f26734d83713f3ad0b019f41,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fe1bb9bbc3d1e06e27a011a864d383b59d44cc4d959a99c7b094445f30c52fff,380b462ade20dc4b4f5dfd30a7f42a6c2fd807d3a5ff9d3c164dcee1548bf76b,102,0,802,"input,instruction,output"
